"Id","Entrata"
"2962","2023-09-14 10:37:27"
"965","2023-09-14 10:37:16"
"595","2023-09-14 10:37:04"
"219","2023-09-14 10:36:58"
"2380","2023-09-14 10:36:53"
"2771","2023-09-14 10:36:46"
"591","2023-09-14 10:36:41"
"67","2023-09-14 10:36:23"
"164","2023-09-14 10:36:06"
"3108","2023-09-14 10:36:01"
"3110","2023-09-14 10:35:56"
"258","2023-09-14 10:35:52"
"409","2023-09-14 10:35:01"
"2767","2023-09-14 10:34:30"
"643","2023-09-14 10:34:17"
"3053","2023-09-14 10:34:14"
"2736","2023-09-14 10:34:08"
"2623","2023-09-14 10:33:50"
"1901","2023-09-14 10:33:46"
"2101","2023-09-14 10:33:40"
"1360","2023-09-14 10:33:30"
"675","2023-09-14 10:33:26"
"124","2023-09-14 10:33:18"
"2081","2023-09-14 10:33:10"
"646","2023-09-14 10:33:00"
"2695","2023-09-14 10:32:56"
"2877","2023-09-14 10:32:50"
"2318","2023-09-14 10:32:45"
"796","2023-09-14 10:32:25"
"3032","2023-09-14 10:32:19"
"1166","2023-09-14 10:32:14"
"2610","2023-09-14 10:32:06"
"2750","2023-09-14 10:29:43"
"1922","2023-09-14 10:29:40"
"2757","2023-09-14 10:29:28"
"2639","2023-09-14 10:29:10"
"1029","2023-09-14 10:29:04"
"3025","2023-09-14 10:29:00"
"147","2023-09-14 10:28:50"
"722","2023-09-14 10:28:46"
"1675","2023-09-14 10:28:39"
"8","2023-09-14 10:28:36"
"427","2023-09-14 10:28:33"
"345","2023-09-14 10:28:23"
"2327","2023-09-14 10:25:51"
"2492","2023-09-14 10:25:48"
"2932","2023-09-14 10:25:44"
"2103","2023-09-14 10:25:33"
"534","2023-09-14 10:25:27"
"1441","2023-09-14 10:21:13"
"2243","2023-09-14 10:19:17"
"894","2023-09-14 10:17:42"
"652","2023-09-14 10:17:06"
"183","2023-09-14 10:16:23"
"23","2023-09-14 10:16:22"
"830","2023-09-14 10:15:39"
"2444","2023-09-14 10:15:35"
"2441","2023-09-14 10:14:46"
"2769","2023-09-14 10:14:42"
"2521","2023-09-14 10:14:24"
"471","2023-09-14 10:14:20"
"2323","2023-09-14 10:14:17"
"2865","2023-09-14 10:14:13"
"2866","2023-09-14 10:14:10"
"2878","2023-09-14 10:13:58"
"2760","2023-09-14 10:13:55"
"1","2023-09-14 10:13:50"
"2383","2023-09-14 10:13:44"
"1534","2023-09-14 10:13:39"
"1449","2023-09-14 10:13:27"
"3082","2023-09-14 10:13:23"
"2898","2023-09-14 10:13:19"
"2899","2023-09-14 10:13:06"
"1395","2023-09-14 10:13:03"
"2908","2023-09-14 10:12:59"
"2859","2023-09-14 10:12:56"
"2747","2023-09-14 10:12:49"
"2753","2023-09-14 10:12:08"
"2294","2023-09-14 10:11:54"
"233","2023-09-14 10:11:50"
"860","2023-09-14 10:11:42"
"1136","2023-09-14 10:11:38"
"2905","2023-09-14 10:11:30"
"1862","2023-09-14 10:11:26"
"2992","2023-09-14 10:11:22"
"1353","2023-09-14 10:11:09"
"3114","2023-09-14 10:11:03"
"2829","2023-09-14 10:10:59"
"2855","2023-09-14 10:10:44"
"2800","2023-09-14 10:10:39"
"2943","2023-09-14 10:10:35"
"2401","2023-09-14 10:10:32"
"1145","2023-09-14 10:10:15"
"739","2023-09-14 10:10:12"
"981","2023-09-14 10:10:08"
"2333","2023-09-14 10:10:03"
"2801","2023-09-14 10:09:59"
"52","2023-09-14 10:09:44"
"2854","2023-09-14 10:09:27"
"726","2023-09-14 10:09:23"
"2554","2023-09-14 10:09:20"
"1728","2023-09-14 10:09:07"
"2896","2023-09-14 10:08:54"
"2777","2023-09-14 10:08:50"
"127","2023-09-14 10:08:47"
"2973","2023-09-14 10:08:42"
"231","2023-09-14 10:08:31"
"2640","2023-09-14 10:08:27"
"2042","2023-09-14 10:08:22"
"93","2023-09-14 10:08:18"
"1504","2023-09-14 10:08:09"
"576","2023-09-14 10:07:55"
"3011","2023-09-14 10:07:42"
"40","2023-09-14 10:07:36"
"2861","2023-09-14 10:07:26"
"2571","2023-09-14 10:07:16"
"45","2023-09-14 10:07:05"
"3133","2023-09-14 10:07:01"
"483","2023-09-14 10:06:56"
"2475","2023-09-14 10:06:53"
"2889","2023-09-14 10:06:50"
"2200","2023-09-14 10:06:32"
"3060","2023-09-14 10:06:28"
"1307","2023-09-14 10:06:17"
"1750","2023-09-14 10:06:12"
"3098","2023-09-14 10:06:06"
"3097","2023-09-14 10:05:56"
"5","2023-09-14 10:05:47"
