"ID","Entrata"
"52","2023-10-12 02:43:57"
"65","2023-10-12 02:43:48"
"66","2023-10-12 02:42:12"
"123","2023-10-12 02:43:44"
"235","2023-10-12 02:42:14"
"322","2023-10-12 02:43:55"
"325","2023-10-12 02:43:51"
"356","2023-10-12 02:43:59"
"555","2023-10-12 02:43:43"
"2512","2023-10-12 02:42:06"
