1,2023-09-14 10:13:50
5,2023-09-14 10:05:47
8,2023-09-14 10:28:36
18,2023-09-14 10:56:18
21,2023-09-14 10:57:28
23,2023-09-14 10:16:22
25,2023-09-14 11:10:00
36,2023-09-14 10:45:41
40,2023-09-14 10:07:36
45,2023-09-14 10:07:05
52,2023-09-14 10:09:44
59,2023-09-14 10:56:03
62,2023-09-14 10:56:31
67,2023-09-14 10:36:23
70,2023-09-14 11:01:04
80,2023-09-14 11:07:18
81,2023-09-14 11:37:59
86,2023-09-14 11:07:14
87,2023-09-14 10:47:24
93,2023-09-14 10:08:18
97,2023-09-14 11:06:13
114,2023-09-14 11:23:32
120,2023-09-14 11:02:23
124,2023-09-14 10:33:18
127,2023-09-14 10:08:47
142,2023-09-14 11:05:50
144,2023-09-14 11:26:51
147,2023-09-14 10:28:50
153,2023-09-14 11:07:38
164,2023-09-14 10:36:06
183,2023-09-14 10:16:23
219,2023-09-14 10:36:58
228,2023-09-14 10:52:42
231,2023-09-14 10:08:31
233,2023-09-14 10:11:50
258,2023-09-14 10:35:52
299,2023-09-14 11:22:32
311,2023-09-14 11:15:13
345,2023-09-14 10:28:23
393,2023-09-14 11:05:08
409,2023-09-14 10:35:01
427,2023-09-14 10:28:33
439,2023-09-14 10:49:46
471,2023-09-14 10:14:20
477,2023-09-14 10:43:26
483,2023-09-14 10:06:56
526,2023-09-14 10:40:52
534,2023-09-14 10:25:27
576,2023-09-14 10:07:55
582,2023-09-14 11:06:51
591,2023-09-14 10:36:41
595,2023-09-14 10:37:04
635,2023-09-14 11:26:14
643,2023-09-14 10:34:17
646,2023-09-14 10:33:00
652,2023-09-14 10:17:06
662,2023-09-14 11:18:36
675,2023-09-14 10:33:26
690,2023-09-14 11:22:10
693,2023-09-14 10:57:25
722,2023-09-14 10:28:46
726,2023-09-14 10:09:23
739,2023-09-14 10:10:12
743,2023-09-14 10:44:09
785,2023-09-14 10:41:02
790,2023-09-14 10:47:42
796,2023-09-14 10:32:25
812,2023-09-14 10:53:40
830,2023-09-14 10:15:39
859,2023-09-14 11:07:30
860,2023-09-14 10:11:42
875,2023-09-14 11:03:14
881,2023-09-14 10:51:08
894,2023-09-14 10:17:42
951,2023-09-14 10:43:13
965,2023-09-14 10:37:16
980,2023-09-14 11:26:29
981,2023-09-14 10:10:08
996,2023-09-14 11:09:55
1006,2023-09-14 10:58:41
1029,2023-09-14 10:29:04
1074,2023-09-14 11:02:28
1108,2023-09-14 11:06:27
1136,2023-09-14 10:11:38
1145,2023-09-14 10:10:15
